"Gender";"Age";"Marital_Status";"Website_Activity";"Browsed_Electronics_12Mo";"Bought_Electronics_12Mo";"Bought_Digital_Media_18Mo";"Bought_Digital_Books";"Payment_Method";"User_ID";"confidence(Late Majority)";"confidence(Innovator)";"confidence(Early Adopter)";"confidence(Early Majority)";"prediction(eReader_Adoption)"
"F";34.0;"S";"Regular";"Yes";"Yes";"Yes";"No";"Website Account";50777.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";67.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Bank Transfer";66884.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";48.0;"S";"Regular";"Yes";"No";"Yes";"No";"Website Account";14507.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";61.0;"S";"Regular";"Yes";"Yes";"Yes";"No";"Website Account";96545.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";64.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Monthly Billing";28983.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";65.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";87211.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";68.0;"M";"Seldom";"Yes";"No";"No";"No";"Bank Transfer";13408.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";43.0;"S";"Seldom";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";57746.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";57.0;"S";"Regular";"Yes";"No";"No";"Yes";"Website Account";87341.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";29.0;"S";"Regular";"Yes";"No";"Yes";"Yes";"Bank Transfer";55308.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";31.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Monthly Billing";75706.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";47.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";76970.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";23.0;"S";"Seldom";"Yes";"No";"No";"No";"Credit Card";24719.0;0.5;0.0;0.0;0.5;"Late Majority"
"F";67.0;"M";"Regular";"Yes";"No";"No";"No";"Website Account";55084.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";53.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";87205.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";52.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Bank Transfer";18228.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";48.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";13880.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";23.0;"M";"Regular";"Yes";"Yes";"Yes";"Yes";"Website Account";78234.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";33.0;"S";"Seldom";"Yes";"Yes";"Yes";"No";"Website Account";26499.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";45.0;"S";"Seldom";"Yes";"Yes";"Yes";"No";"Website Account";26056.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";43.0;"S";"Seldom";"Yes";"Yes";"Yes";"No";"Bank Transfer";56380.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";52.0;"M";"Frequent";"Yes";"Yes";"Yes";"No";"Bank Transfer";14730.0;0.0;0.6666666666666666;0.3333333333333333;0.0;"Innovator"
"F";36.0;"S";"Regular";"Yes";"Yes";"Yes";"No";"Website Account";31365.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";19.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Website Account";81704.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";46.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Monthly Billing";20677.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";50.0;"S";"Seldom";"Yes";"Yes";"No";"Yes";"Monthly Billing";22923.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";53.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Credit Card";15706.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";46.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";58150.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";38.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Bank Transfer";16788.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";30.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";71801.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";30.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";48662.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";32.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Monthly Billing";80090.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";59.0;"M";"Frequent";"Yes";"No";"Yes";"No";"Website Account";45776.0;0.1111111111111111;0.0;0.8888888888888888;0.0;"Early Adopter"
"F";68.0;"M";"Regular";"Yes";"No";"No";"No";"Website Account";92374.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";43.0;"M";"Regular";"Yes";"Yes";"Yes";"Yes";"Website Account";77028.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";63.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Website Account";49617.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";64.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Website Account";15810.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";67.0;"M";"Frequent";"No";"Yes";"No";"Yes";"Website Account";85343.0;0.3333333333333333;0.6666666666666666;0.0;0.0;"Innovator"
"F";57.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";73118.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";52.0;"M";"Regular";"Yes";"Yes";"No";"No";"Bank Transfer";76548.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";54.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Bank Transfer";78179.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";22.0;"M";"Regular";"Yes";"Yes";"Yes";"No";"Credit Card";84132.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";28.0;"M";"Regular";"Yes";"Yes";"Yes";"Yes";"Monthly Billing";79105.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";48.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";49019.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";51.0;"M";"Regular";"No";"Yes";"Yes";"No";"Credit Card";89985.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";57.0;"S";"Regular";"Yes";"No";"No";"Yes";"Website Account";42424.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";61.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";67645.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";21.0;"S";"Seldom";"Yes";"No";"No";"No";"Credit Card";93347.0;0.5;0.0;0.0;0.5;"Late Majority"
"F";52.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Bank Transfer";16908.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";62.0;"M";"Regular";"No";"Yes";"Yes";"No";"Bank Transfer";86453.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";40.0;"S";"Frequent";"Yes";"No";"Yes";"No";"Website Account";98350.0;0.125;0.875;0.0;0.0;"Innovator"
"M";35.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Bank Transfer";51247.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";52.0;"S";"Seldom";"Yes";"Yes";"No";"Yes";"Monthly Billing";13668.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";44.0;"S";"Seldom";"Yes";"Yes";"Yes";"Yes";"Website Account";90322.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";44.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";32371.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";47.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";44173.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";49.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Bank Transfer";76558.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";46.0;"S";"Regular";"Yes";"Yes";"Yes";"No";"Website Account";54936.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";58.0;"S";"Regular";"Yes";"No";"No";"Yes";"Website Account";84631.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";33.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Website Account";67067.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";23.0;"M";"Regular";"Yes";"No";"Yes";"No";"Website Account";22402.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";48.0;"S";"Seldom";"Yes";"Yes";"No";"Yes";"Credit Card";12532.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";39.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Bank Transfer";64950.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";65.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";24212.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";26.0;"S";"Regular";"Yes";"No";"Yes";"Yes";"Bank Transfer";86962.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";31.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";65788.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";17.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";61926.0;0.0;0.0;0.0;1.0;"Early Majority"
"M";26.0;"M";"Seldom";"Yes";"No";"No";"No";"Monthly Billing";81747.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";24.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Bank Transfer";58818.0;0.25;0.0;0.0;0.75;"Early Majority"
"M";54.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";61668.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";46.0;"M";"Frequent";"Yes";"Yes";"No";"Yes";"Website Account";10153.0;0.0;0.5;0.0;0.5;"Innovator"
"M";47.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";75722.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";62.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Monthly Billing";69601.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";63.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Website Account";88778.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";42.0;"M";"Regular";"Yes";"Yes";"Yes";"Yes";"Website Account";49903.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";49.0;"S";"Seldom";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";63669.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";64.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Website Account";15769.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";49.0;"S";"Regular";"Yes";"No";"No";"Yes";"Credit Card";85097.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";52.0;"M";"Frequent";"Yes";"Yes";"Yes";"No";"Bank Transfer";67767.0;0.0;0.6666666666666666;0.3333333333333333;0.0;"Innovator"
"M";20.0;"M";"Regular";"Yes";"Yes";"Yes";"Yes";"Website Account";44210.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";64.0;"M";"Frequent";"No";"Yes";"No";"Yes";"Website Account";33192.0;0.3333333333333333;0.6666666666666666;0.0;0.0;"Innovator"
"F";41.0;"S";"Regular";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";43668.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";31.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Website Account";51348.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";39.0;"S";"Regular";"Yes";"Yes";"No";"No";"Website Account";40481.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";50.0;"S";"Regular";"Yes";"Yes";"Yes";"No";"Bank Transfer";20176.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";53.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Bank Transfer";52881.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";60.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Monthly Billing";75183.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";58.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";46740.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";52.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Website Account";85498.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";47.0;"M";"Regular";"Yes";"No";"Yes";"No";"Credit Card";94008.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";42.0;"S";"Seldom";"Yes";"No";"No";"Yes";"Bank Transfer";52945.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";49.0;"M";"Regular";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";41667.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";49.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Bank Transfer";18023.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";26.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";57474.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
